,End_Order,End_Datum,Ret_Aantal
2075253,468998,16-10-2019,1.0
2075268,468998,16-10-2019,1.0
2075441,468998,16-10-2019,1.0
1234301,409610,29-03-2017,1.0
2208864,477195,21-02-2020,2.0
2208896,477195,21-02-2020,1.0
2799389,507916,09-06-2021,1.0
2656949,503821,24-02-2021,1.0
1419566,423961,14-11-2017,3.0
1419596,423961,14-11-2017,2.0
1069511,397341,30-06-2016,2.0
1069537,397341,30-06-2016,1.0
1069555,397341,30-06-2016,3.0
2087953,469025,27-10-2019,1.0
2087963,469025,27-10-2019,2.0
2112341,466978,05-11-2019,1.0
2112361,466978,05-11-2019,1.0
2078359,469033,22-10-2019,1.0
1723136,442410,26-10-2018,1.0
1723223,442410,26-10-2018,1.0
2237599,479277,20-03-2020,1.0
2237637,479277,20-03-2020,1.0
2237644,479277,20-03-2020,1.0
2239990,479277,03-03-2020,1.0
2466548,491574,11-09-2020,1.0
1579081,434231,04-06-2018,1.0
2807823,510016,11-06-2021,1.0
1955842,460869,07-07-2019,1.0
2422135,489556,27-07-2020,2.0
1118952,399446,27-09-2016,1.0
2079904,469081,28-10-2019,3.0
2630174,501853,02-02-2021,1.0
2874921,516190,23-07-2021,1.0
1708598,444511,14-12-2018,1.0
1067574,397408,24-06-2016,1.0
2067091,467041,30-09-2019,3.0
1032907,393315,15-04-2016,2.0
2484202,493674,12-10-2020,1.0
1334508,415850,24-07-2017,1.0
1672481,440427,21-09-2018,2.0
1672486,440427,21-09-2018,1.0
2324835,483442,15-05-2020,1.0
2679953,503925,05-03-2021,1.0
2679991,503925,05-03-2021,1.0
2066428,467062,30-09-2019,2.0
2066436,467062,30-09-2019,1.0
1887901,456827,28-04-2019,1.0
1887944,456827,28-04-2019,1.0
1887957,456827,28-04-2019,2.0
1888037,456827,28-04-2019,4.0
1888139,456827,28-04-2019,4.0
1888187,456827,28-04-2019,1.0
1706511,440450,10-10-2018,2.0
1706522,440450,10-10-2018,1.0
1706550,440450,10-10-2018,2.0
2356567,481413,15-06-2020,1.0
1623806,438408,10-07-2018,1.0
1623817,438408,10-07-2018,0.0
2509471,493705,13-10-2020,1.0
2725127,508049,14-04-2021,2.0
2594491,497812,04-12-2020,1.0
2605816,497812,15-12-2020,4.0
1517331,430230,22-03-2018,2.0
1517369,430231,22-03-2018,1.0
2123237,471200,12-12-2019,1.0
2123268,471200,12-12-2019,1.0
2123297,471200,12-12-2019,1.0
2026418,465062,27-08-2019,4.0
2026422,465062,27-08-2019,1.0
2631428,501927,22-01-2021,1.0
1559743,434347,15-05-2018,1.0
2211223,477363,17-03-2020,1.0
2936900,516289,24-09-2021,1.0
2936901,516289,24-09-2021,1.0
2728327,501955,13-04-2021,2.0
1126446,401606,05-10-2016,0.0
1135058,401606,18-10-2016,1.0
1135074,401606,18-10-2016,2.0
2017085,463048,15-08-2019,1.0
2108674,467147,01-11-2019,1.0
2843621,514253,01-07-2021,1.0
2289041,481514,16-04-2020,2.0
2075659,467190,10-10-2019,1.0
2075666,467190,10-10-2019,2.0
2113982,469240,15-11-2019,1.0
2280225,481540,16-04-2020,1.0
1172186,403721,09-12-2016,1.0
1530271,432403,16-04-2018,1.0
1980224,461085,05-07-2019,1.0
1957520,461104,19-06-2019,1.0
2029334,465203,05-09-2019,2.0
1083869,397624,21-07-2016,1.0
3013759,516422,01-12-2021,1.0
1931057,457036,29-05-2019,1.0
2869703,508239,29-07-2021,6.0
2242314,479568,12-03-2020,1.0
1026619,393562,08-04-2016,1.0
2740849,508260,12-05-2021,1.0
2473022,491887,18-09-2020,4.0
2473054,491887,18-09-2020,4.0
2342874,485743,03-06-2020,1.0
2661176,504181,22-02-2021,1.0
2505969,491896,13-10-2020,2.0
1898452,457083,26-04-2019,1.0
1898473,457083,26-04-2019,1.0
1601181,436623,21-06-2018,3.0
1573747,432533,24-05-2018,3.0
1573755,432533,24-05-2018,4.0
1573815,432533,24-05-2018,1.0
1580189,432533,30-05-2018,1.0
1580200,432533,30-05-2018,4.0
1624281,432533,11-07-2018,1.0
1624282,432533,11-07-2018,4.0
2189731,475553,31-01-2020,1.0
2189819,475555,27-01-2020,2.0
1278928,414121,01-06-2017,3.0
1154489,403887,15-11-2016,1.0
1154502,403887,15-11-2016,3.0
1154513,403887,15-11-2016,1.0
1101195,399792,29-08-2016,1.0
1198711,407985,09-02-2017,1.0
1198748,407985,09-02-2017,1.0
2276533,481717,18-05-2020,1.0
2181181,473086,19-12-2019,1.0
2181220,473086,19-12-2019,1.0
1429628,424374,16-11-2017,1.0
2081103,467390,10-10-2019,1.0
2081110,467390,10-10-2019,1.0
2685926,504255,25-02-2021,1.0
1226016,408001,20-03-2017,1.0
1226018,408001,20-03-2017,1.0
2017953,463306,16-08-2019,1.0
2091149,463306,25-10-2019,5.0
1656883,440778,24-08-2018,1.0
2547146,496079,06-11-2020,1.0
2547147,496079,06-11-2020,1.0
2547156,496079,06-11-2020,1.0
2547167,496079,06-11-2020,1.0
2616057,500176,06-01-2021,1.0
2616485,500176,07-01-2021,1.0
2616657,500177,08-01-2021,1.0
2616677,500177,08-01-2021,1.0
2616679,500177,08-01-2021,1.0
2616722,500178,13-01-2021,1.0
2616742,500178,13-01-2021,1.0
1211032,408020,28-02-2017,6.0
2536415,496086,28-10-2020,1.0
2536419,496086,28-10-2020,1.0
2323133,483804,12-06-2020,1.0
1890242,455136,22-04-2019,3.0
1890273,455136,22-04-2019,1.0
1616326,436706,02-07-2018,4.0
2466478,489955,11-09-2020,1.0
1258212,412150,28-04-2017,1.0
1258167,412151,28-04-2017,3.0
2849191,514552,16-07-2021,1.0
1119540,401913,28-09-2016,1.0
2747253,508414,05-05-2021,1.0
1258074,412160,28-04-2017,1.0
1258076,412160,28-04-2017,1.0
1258088,412160,28-04-2017,1.0
1808496,451080,28-01-2019,1.0
1808522,451080,28-01-2019,2.0
1607574,436748,29-06-2018,1.0
1224773,410130,20-03-2017,1.0
1230551,410130,31-03-2017,1.0
1267311,410143,12-05-2017,1.0
1305379,410143,08-07-2017,2.0
2564584,498208,24-11-2020,1.0
2564603,498208,24-11-2020,1.0
1734298,444968,07-11-2018,1.0
2216087,477737,24-02-2020,2.0
2216097,477737,24-02-2020,1.0
2216100,477737,24-02-2020,1.0
2216103,477737,24-02-2020,0.0
1780464,449070,19-12-2018,1.0
1610126,436789,28-06-2018,2.0
1610134,436789,28-06-2018,1.0
2118776,471606,26-10-2019,1.0
1863991,455227,03-04-2019,1.0
2548652,496188,23-11-2020,1.0
2733431,508481,13-04-2021,2.0
1466968,426565,19-01-2018,1.0
1326166,416329,16-07-2017,1.0
1326182,416329,16-07-2017,1.0
1326222,416329,16-07-2017,2.0
2216755,477779,13-03-2020,2.0
2216787,477779,13-03-2020,1.0
2423585,490074,22-09-2020,1.0
1077163,395869,11-07-2016,1.0
1070696,395869,04-07-2016,2.0
1781373,449126,12-12-2018,1.0
1781377,449126,12-12-2018,1.0
2664743,504428,25-02-2021,1.0
1620257,436852,06-07-2018,1.0
2388092,481912,06-07-2020,1.0
3038400,516732,23-12-2021,1.0
2845606,514686,22-07-2021,2.0
2382292,481919,01-07-2020,1.0
1716519,445056,25-10-2018,1.0
1177937,406145,21-12-2016,1.0
1177975,406145,21-12-2016,1.0
1103949,397959,02-09-2016,1.0
1485071,428682,12-02-2018,3.0
2146921,471693,28-11-2019,1.0
1628448,438926,19-07-2018,1.0
1535634,432782,27-04-2018,1.0
1535637,432782,27-04-2018,1.0
2829384,512654,12-08-2021,2.0
2120996,471704,13-11-2019,1.0
2563389,496282,19-11-2020,1.0
2611078,494235,18-12-2020,1.0
2631577,500384,14-01-2021,1.0
1315533,416421,07-07-2017,1.0
2665383,504486,01-03-2021,1.0
1127146,402093,14-10-2016,1.0
2069006,463538,07-10-2019,4.0
2773128,510643,28-05-2021,1.0
2773150,510643,28-05-2021,1.0
2399041,477884,27-07-2020,2.0
1873556,455364,03-04-2019,1.0
2638863,502480,19-03-2021,2.0
2638878,502480,19-03-2021,2.0
2167157,473809,10-12-2019,1.0
2193345,475860,22-01-2020,1.0
1899555,455391,29-04-2019,1.0
1899596,455391,29-04-2019,1.0
2735319,506591,12-04-2021,1.0
2735323,506591,12-04-2021,1.0
1819157,451300,06-02-2019,1.0
1430245,424688,30-11-2017,1.0
2087205,469745,28-10-2019,1.0
1335491,414451,28-07-2017,1.0
1335525,414451,28-07-2017,1.0
2537016,496377,30-10-2020,1.0
2568626,498429,18-12-2020,4.0
1510607,428800,13-03-2018,1.0
2883398,496385,14-07-2021,1.0
1858594,453382,20-03-2019,1.0
1858616,453382,20-03-2019,1.0
1443643,424710,30-11-2017,1.0
1203565,408331,24-02-2017,1.0
1203586,408331,24-02-2017,1.0
1332476,408336,25-07-2017,1.0
1491153,428818,12-02-2018,1.0
1491178,428818,12-02-2018,1.0
1491212,428818,12-02-2018,1.0
1688394,443155,26-09-2018,1.0
1688404,443155,26-09-2018,1.0
996569,391955,05-02-2016,1.0
1213241,408339,01-03-2017,1.0
1867540,455447,04-04-2019,1.0
2410867,475935,22-07-2020,1.0
2493716,494370,25-10-2020,1.0
2493722,494370,25-10-2020,1.0
2493731,494370,25-10-2020,1.0
2701893,506659,29-03-2021,1.0
2074083,465701,18-09-2019,1.0
2066925,465704,22-10-2019,1.0
2297270,482090,21-04-2020,1.0
2297277,482090,21-04-2020,1.0
1029431,394036,14-04-2016,1.0
1402728,416569,20-10-2017,2.0
1257714,412489,28-04-2017,1.0
1090773,396108,01-08-2016,1.0
1948915,459604,09-06-2019,3.0
2774601,506715,10-05-2021,1.0
2774625,506715,10-05-2021,1.0
2774631,506715,10-05-2021,1.0
2725877,504686,07-04-2021,2.0
2531697,496501,29-10-2020,1.0
1182850,404342,21-12-2016,1.0
1182861,404342,21-12-2016,1.0
2112029,467831,14-10-2019,2.0
2081217,467831,10-10-2019,1.0
2787868,504699,25-05-2021,1.0
2787871,504699,25-05-2021,1.0
2931037,504699,20-09-2021,1.0
2931088,504699,20-09-2021,1.0
1753937,447360,29-11-2018,1.0
1753966,447360,29-11-2018,1.0
1725413,441225,26-10-2018,1.0
2495219,494478,06-10-2020,1.0
2927168,519056,08-10-2021,1.0
2471320,482192,14-09-2020,1.0
2471340,482192,14-09-2020,1.0
1850549,453522,15-03-2019,1.0
2673956,504723,09-03-2021,2.0
2790464,510868,21-05-2021,3.0
1377431,420760,04-10-2017,1.0
1377582,420761,06-10-2017,1.0
2388427,488354,08-07-2020,1.0
1962791,461731,09-07-2019,2.0
1725367,441257,26-10-2018,1.0
1934736,459693,04-06-2019,2.0
1198587,406454,07-02-2017,1.0
1198609,406454,07-02-2017,1.0
1946962,453562,06-06-2019,1.0
1692800,443323,10-10-2018,1.0
2389476,488381,07-07-2020,1.0
2533338,496574,13-11-2020,1.0
1962895,461774,09-07-2019,2.0
2746259,508898,26-04-2021,1.0
2660668,502755,24-02-2021,1.0
2964155,521197,23-12-2021,1.0
2739998,508917,14-05-2021,3.0
1727098,443387,31-10-2018,1.0
1727113,443387,31-10-2018,1.0
2367672,486396,30-06-2020,1.0
2852894,515072,13-07-2021,1.0
2462807,492548,18-09-2020,1.0
1073711,398344,13-07-2016,1.0
1073752,398344,13-07-2016,1.0
1579541,435211,28-05-2018,1.0
1555479,427022,02-05-2018,1.0
1555516,427022,02-05-2018,1.0
1555524,427022,02-05-2018,1.0
2286496,482326,20-04-2020,2.0
1617738,437280,04-07-2018,2.0
2779685,511010,19-05-2021,1.0
2229231,476195,21-02-2020,1.0
2229252,476195,21-02-2020,1.0
1630343,437292,20-07-2018,3.0
1589216,435246,05-06-2018,1.0
2929919,519222,28-09-2021,1.0
1083148,398393,18-07-2016,2.0
2269809,463929,25-02-2020,3.0
2021036,461883,18-08-2019,1.0
2021039,461883,18-08-2019,3.0
2360842,486474,11-07-2020,1.0
2360870,486474,11-07-2020,1.0
2540126,494668,13-11-2020,1.0
1049507,396375,30-06-2016,1.0
2652594,502871,21-02-2021,1.0
1563861,433240,09-05-2018,1.0
1563872,433240,09-05-2018,1.0
2499243,494682,19-10-2020,2.0
1658651,439399,25-08-2018,2.0
1252830,410740,20-04-2017,1.0
1260466,410741,02-05-2017,1.0
1581524,435324,11-06-2018,2.0
2536922,496764,23-11-2020,1.0
2743042,509054,05-05-2021,1.0
2041676,466048,09-09-2019,2.0
2208704,476289,14-02-2020,1.0
2208710,476289,14-02-2020,5.0
2061820,468100,05-10-2019,1.0
2061862,468101,11-10-2019,3.0
1723939,445588,09-11-2018,1.0
1966528,457877,26-06-2019,2.0
1724011,445594,09-11-2018,1.0
2036264,466076,02-09-2019,1.0
2036272,466076,02-09-2019,1.0
1986015,461981,11-07-2019,1.0
2464863,492710,30-09-2020,1.0
2810063,511142,07-06-2021,1.0
1336355,416938,26-07-2017,2.0
1057283,396460,07-06-2016,1.0
2620145,500924,22-02-2021,1.0
2620148,500924,22-02-2021,2.0
1036569,390341,20-04-2016,1.0
1036587,390341,20-04-2016,2.0
2793221,509126,31-05-2021,1.0
2793261,509126,31-05-2021,1.0
2288521,482502,22-04-2020,1.0
2674224,480461,10-03-2021,1.0
2291863,482510,21-04-2020,2.0
2405770,486615,17-07-2020,1.0
1607047,437465,27-06-2018,2.0
1785738,447707,14-12-2018,1.0
1182744,402653,21-12-2016,1.0
2576964,498911,04-12-2020,1.0
2576965,498911,04-12-2020,1.0
2577492,498915,09-12-2020,1.0
1937201,460018,28-05-2019,2.0
1291960,414964,13-06-2017,1.0
1685444,441605,19-09-2018,1.0
1685454,441605,19-09-2018,1.0
1543135,431386,19-04-2018,6.0
1559900,431386,04-05-2018,2.0
1817897,449819,13-02-2019,1.0
1619785,435487,09-07-2018,1.0
1529633,431391,09-04-2018,2.0
1658210,437537,24-08-2018,2.0
1674936,437537,12-09-2018,1.0
2646871,503074,05-03-2021,2.0
1484474,427299,13-02-2018,1.0
2578664,498977,16-12-2020,1.0
1448692,425250,08-12-2017,3.0
1211531,408872,01-03-2017,1.0
1470176,427311,16-01-2018,2.0
1484509,427317,13-02-2018,3.0
1543711,431413,17-04-2018,1.0
1056247,396603,04-06-2016,1.0
1056267,396603,04-06-2016,1.0
2516400,492863,15-10-2020,1.0
1277752,412992,22-05-2017,1.0
1545969,431441,25-04-2018,1.0
2097770,470354,15-11-2019,1.0
1906275,458070,10-05-2019,1.0
2840172,513379,29-06-2021,1.0
2840194,513379,29-06-2021,1.0
2840200,513379,29-06-2021,1.0
1767441,445797,04-12-2018,3.0
1767481,445797,04-12-2018,1.0
1767573,445797,04-12-2018,2.0
1767658,445797,04-12-2018,1.0
1212033,408935,27-02-2017,1.0
2359340,486772,24-06-2020,1.0
2201052,476533,31-01-2020,1.0
1552879,433528,01-05-2018,1.0
2499393,492925,06-10-2020,1.0
1353621,419203,28-08-2017,2.0
1720702,443787,23-10-2018,1.0
1906974,458126,19-06-2019,2.0
1876901,456079,19-04-2019,1.0
2044207,466319,18-09-2019,1.0
2053270,466319,18-09-2019,1.0
1270372,413073,22-05-2017,4.0
2712059,507297,16-04-2021,2.0
2025177,462248,27-08-2019,1.0
1220614,409007,14-03-2017,1.0
1220617,409007,14-03-2017,1.0
1498137,429488,23-02-2018,1.0
1498155,429488,23-02-2018,1.0
1820578,452026,12-02-2019,1.0
1820592,452026,12-02-2019,1.0
1841635,452040,04-03-2019,1.0
1841668,452040,04-03-2019,1.0
1430686,423371,20-11-2017,1.0
1843391,452049,05-03-2019,0.0
2174975,468434,18-12-2019,1.0
2434979,488917,21-08-2020,1.0
2434992,488917,21-08-2020,1.0
2434996,488917,21-08-2020,1.0
2582596,499159,10-12-2020,1.0
1313028,415192,04-07-2017,4.0
1313038,415192,04-07-2017,1.0
1578063,433625,24-05-2018,1.0
1300762,415201,30-06-2017,2.0
1300769,415201,30-06-2017,2.0
1300693,415201,28-06-2017,1.0
2826426,493037,28-06-2021,1.0
2826430,493037,28-06-2021,1.0
2935569,493037,27-09-2021,1.0
1537138,431597,12-04-2018,1.0
2863300,515566,17-07-2021,3.0
1030471,394740,14-04-2016,2.0
1853701,454148,19-03-2019,1.0
2755621,507405,16-04-2021,1.0
2890133,515598,05-08-2021,1.0
2877042,515606,22-07-2021,1.0
1972674,460312,03-07-2019,1.0
1972701,460312,03-07-2019,1.0
1609651,437791,10-07-2018,4.0
1609691,437791,10-07-2018,1.0
1127081,394786,10-10-2016,1.0
1749438,445986,16-11-2018,1.0
2213186,476708,07-02-2020,1.0
2213188,476708,07-02-2020,1.0
1671557,441890,12-09-2018,1.0
2680219,505383,19-03-2021,1.0
1671102,441895,12-09-2018,1.0
1036747,394806,20-04-2016,2.0
2364157,486968,29-06-2020,1.0
1588896,435769,06-06-2018,1.0
1588900,435769,06-06-2018,1.0
1121798,400953,03-10-2016,4.0
1591669,435771,23-06-2018,1.0
2330090,484928,27-05-2020,1.0
2138605,472644,06-12-2019,1.0
2138607,472644,06-12-2019,1.0
2138627,472644,06-12-2019,1.0
2254431,478791,16-03-2020,1.0
2429778,478791,06-08-2020,3.0
2429780,478791,06-08-2020,3.0
2507329,495196,19-10-2020,1.0
2057847,466539,09-10-2019,2.0
2057948,466539,25-10-2019,2.0
2660879,503407,03-03-2021,1.0
1401997,419442,20-10-2017,2.0
2440372,491123,31-08-2020,1.0
2126557,470645,18-11-2019,2.0
2453190,491144,04-09-2020,1.0
2453197,491144,04-09-2020,1.0
2075380,464535,11-10-2019,1.0
2136318,464535,18-11-2019,1.0
2158520,464535,05-12-2019,1.0
2158530,464535,05-12-2019,1.0
1911699,458392,27-05-2019,1.0
1647716,435866,22-08-2018,2.0
1647819,435866,22-08-2018,1.0
1647843,435866,22-08-2018,1.0
2364748,485019,19-06-2020,1.0
2664241,503456,24-02-2021,1.0
2084910,468654,17-10-2019,1.0
1243013,409264,07-04-2017,2.0
1243092,409264,07-04-2017,2.0
1265459,409264,08-05-2017,2.0
1528772,431804,05-04-2018,1.0
1757156,444096,28-11-2018,2.0
2616373,499397,17-12-2020,1.0
2365129,487112,01-07-2020,1.0
2365145,487112,01-07-2020,1.0
2175020,470745,18-12-2019,1.0
1974405,462554,09-07-2019,1.0
2263778,480992,02-04-2020,1.0
2263804,480992,02-04-2020,1.0
1954740,460518,08-07-2019,1.0
2683872,505590,17-03-2021,1.0
2851867,497412,22-06-2021,
1658412,438029,24-08-2018,1.0
1406903,421646,25-10-2017,1.0
2158558,470803,09-12-2019,1.0
2158573,470803,09-12-2019,1.0
2396774,485148,13-07-2020,1.0
2090914,468770,18-10-2019,1.0
2088052,468770,17-10-2019,1.0
2175048,472866,18-12-2019,1.0
2175055,472866,18-12-2019,1.0
