,Ing_Order,Ing_Datum,Ing_Aantal
1113468,393222,15-03-2016,2.0
1127086,393225,11-04-2016,4.0
1166125,397327,04-07-2016,1.0
1166153,397327,04-07-2016,1.0
1166154,397327,04-07-2016,1.0
1166165,397327,04-07-2016,1.0
1182826,397328,11-07-2016,2.0
1182850,397328,11-07-2016,2.0
1622831,430098,14-03-2018,2.0
2018213,456726,11-04-2019,1.0
1955242,452631,19-02-2019,1.0
1622951,430104,14-03-2018,1.0
1622955,430104,14-03-2018,1.0
2082111,460825,14-06-2019,1.0
3124713,522270,11-11-2021,1.0
2663253,495650,19-10-2020,1.0
740897,366639,11-04-2014,1.0
1195089,399407,28-07-2016,1.0
2113562,462932,11-07-2019,1.0
2113597,462932,11-07-2019,1.0
2122589,462932,26-07-2019,1.0
2122599,462932,26-07-2019,1.0
2122824,462932,18-08-2019,1.0
1060636,389208,18-11-2015,2.0
2516927,487519,03-07-2020,1.0
2152757,465001,02-09-2019,1.0
631542,358507,22-07-2013,1.0
859728,374912,05-11-2014,10.0
631984,358540,16-07-2013,1.0
631985,358540,16-07-2013,1.0
2083880,460951,21-06-2019,2.0
2149216,465050,21-08-2019,1.0
2446995,483485,04-05-2020,1.0
2463339,483485,12-05-2020,2.0
2463344,483485,12-05-2020,1.0
1988406,454815,20-03-2019,1.0
1597493,428196,16-02-2018,1.0
1597514,428196,16-02-2018,1.0
2420633,481447,10-04-2020,2.0
772697,368830,10-06-2014,2.0
1227242,401615,30-09-2016,4.0
2703540,497872,16-11-2020,1.0
2703546,497872,16-11-2020,1.0
1513788,422098,11-10-2017,1.0
2553725,489685,22-07-2020,1.0
2553738,489685,22-07-2020,1.0
2947473,512214,11-06-2021,1.0
1112644,393434,14-03-2016,1.0
1112648,393434,14-03-2016,1.0
2707347,497884,17-11-2020,3.0
944188,381151,29-04-2015,1.0
548582,352486,29-11-2012,1.0
2379434,479472,06-03-2020,2.0
2841696,506109,19-03-2021,2.0
2841704,506109,19-03-2021,1.0
2841719,506109,19-03-2021,1.0
1726210,436485,15-06-2018,1.0
1655917,432390,17-04-2018,3.0
3062118,518408,13-09-2021,1.0
2448794,483599,01-05-2020,1.0
2380451,479510,06-03-2020,1.0
633980,358686,22-07-2013,2.0
1197992,399647,09-08-2016,1.0
1544975,424225,13-11-2017,1.0
1226131,401700,25-09-2016,2.0
2352613,477479,13-02-2020,1.0
1599193,428332,06-02-2018,3.0
1599202,428332,06-02-2018,3.0
1599301,428337,06-02-2018,1.0
915634,379188,09-03-2015,1.0
