,End_Order,End_Datum,Ret_Aantal
2993515,509952,15-11-2021,1.0
2731012,507905,09-04-2021,3.0
2733139,507906,09-04-2021,4.0
2859217,514051,13-09-2021,2.0
2894890,509960,12-08-2021,2.0
2956989,509960,12-10-2021,3.0
2957023,509960,12-10-2021,1.0
3020329,524297,10-12-2021,2.0
2697120,497677,18-03-2021,2.0
2900940,497677,24-08-2021,2.0
2900955,497677,24-08-2021,1.0
2993280,497677,23-11-2021,1.0
3031776,497677,17-12-2021,1.0
3031802,497677,17-12-2021,2.0
3031910,497677,22-12-2021,2.0
3029591,524303,13-12-2021,3.0
2834819,514072,24-06-2021,2.0
3020757,524314,14-12-2021,1.0
2941797,499739,30-09-2021,2.0
2945480,520218,21-10-2021,2.0
2647970,497691,01-02-2021,4.0
3023828,524322,13-12-2021,4.0
2798986,509986,01-06-2021,2.0
2858605,509986,13-07-2021,3.0
2875095,509986,23-07-2021,3.0
2647813,501803,05-02-2021,3.0
2799076,512044,01-06-2021,1.0
2994162,522284,04-11-2021,2.0
2760797,509999,12-05-2021,2.0
3002093,522290,17-11-2021,4.0
2909216,518201,03-09-2021,2.0
2909140,518202,10-09-2021,2.0
3040751,524348,21-12-2021,2.0
2799277,512061,07-06-2021,2.0
2996040,522305,15-11-2021,2.0
2594593,499778,16-01-2021,4.0
2946528,520260,19-10-2021,3.0
2909403,518214,07-09-2021,2.0
2689497,505926,12-03-2021,2.0
2946623,520264,30-10-2021,3.0
2770698,510026,07-05-2021,2.0
2670697,503882,26-02-2021,3.0
2670714,503882,25-03-2021,2.0
2930473,518220,17-09-2021,2.0
2909527,518221,10-09-2021,3.0
2776008,510031,11-05-2021,2.0
2761515,510032,10-05-2021,1.0
2799258,510034,03-06-2021,3.0
2750217,505941,21-04-2021,1.0
2960874,518230,14-10-2021,2.0
2630130,501851,14-01-2021,2.0
2986146,520285,15-10-2021,1.0
3012527,522333,02-12-2021,4.0
2902612,512096,27-08-2021,2.0
2891360,512096,05-08-2021,2.0
2873294,514149,22-07-2021,1.0
2841011,512103,29-06-2021,0.0
2985816,522343,10-11-2021,2.0
3036512,524393,17-12-2021,3.0
2908486,514153,02-09-2021,2.0
2958140,514153,15-10-2021,1.0
2888838,514153,26-07-2021,1.0
2906139,514153,30-08-2021,1.0
2997881,514153,16-11-2021,3.0
2909741,518252,20-09-2021,2.0
3023359,524399,13-12-2021,12.0
3006271,518255,23-11-2021,2.0
2986131,522352,11-11-2021,1.0
2764335,510068,03-05-2021,2.0
3024483,524407,09-12-2021,5.0
2991027,522360,12-11-2021,7.0
2991055,522360,12-11-2021,6.0
2764828,510074,10-05-2021,2.0
2764877,510074,10-05-2021,4.0
2986327,522364,10-11-2021,1.0
2718599,501885,02-04-2021,1.0
2718644,501885,02-04-2021,1.0
2714818,501885,31-03-2021,1.0
2791876,501885,07-06-2021,3.0
2791923,501885,07-06-2021,2.0
2865571,501885,23-07-2021,2.0
2796122,510078,28-05-2021,2.0
3022781,524415,13-12-2021,3.0
2986409,522368,17-12-2021,6.0
2746494,505986,19-04-2021,4.0
2836988,505988,30-06-2021,3.0
2724934,508037,19-04-2021,4.0
2986567,522374,12-11-2021,8.0
2950489,520334,12-10-2021,6.0
2690443,505999,19-03-2021,3.0
2690450,505999,19-03-2021,1.0
2690455,505999,19-03-2021,1.0
3044119,512148,23-12-2021,2.0
3032874,512148,15-12-2021,1.0
2836236,514201,05-07-2021,7.0
2902973,516250,27-08-2021,1.0
3002904,516250,19-11-2021,2.0
3023644,524443,15-12-2021,1.0
3023660,524443,15-12-2021,1.0
2836712,514202,01-07-2021,4.0
2752938,508062,30-04-2021,2.0
2949493,520351,05-10-2021,2.0
2631225,501920,19-01-2021,5.0
2801026,512164,01-06-2021,6.0
2846797,501928,05-07-2021,2.0
2800737,510127,01-06-2021,5.0
3024439,524480,16-12-2021,4.0
3041188,524483,24-12-2021,4.0
3024212,524484,17-12-2021,1.0
2930438,518345,17-09-2021,2.0
2913346,518351,10-09-2021,3.0
2763904,510162,11-05-2021,1.0
2844301,514262,01-07-2021,3.0
2763952,510167,12-05-2021,1.0
2726268,508126,14-04-2021,5.0
2726356,508127,12-04-2021,2.0
2726396,508127,12-04-2021,4.0
2812419,512224,09-06-2021,1.0
2955950,514271,25-10-2021,2.0
3008411,522465,25-11-2021,2.0
2941643,518371,29-09-2021,2.0
3015528,520421,07-12-2021,2.0
2988104,522469,09-11-2021,2.0
2671543,504039,25-02-2021,2.0
2768649,510184,05-05-2021,2.0
3016459,522470,01-12-2021,4.0
2652161,499946,05-02-2021,2.0
2653994,499946,05-02-2021,3.0
2697950,499946,17-03-2021,2.0
2697982,499946,17-03-2021,4.0
2697986,499946,17-03-2021,3.0
2941924,518378,14-10-2021,1.0
2941928,518378,14-10-2021,1.0
2764542,510191,12-05-2021,5.0
