,End_Order,End_Datum,Ret_Aantal
1947039,458246,06-06-2019,2.0
2203751,476696,21-02-2020,1.0
1293652,415259,07-07-2017,1.0
2084162,469533,08-11-2019,1.0
2084175,469533,08-11-2019,1.0
1446402,425503,01-12-2017,1.0
1446405,425503,01-12-2017,1.0
1410083,417825,01-10-2017,1.0
1547315,431653,26-04-2018,1.0
1547338,431653,26-04-2018,1.0
1617538,437288,02-07-2018,3.0
1747803,443950,15-11-2018,1.0
1747820,443950,15-11-2018,4.0
1875468,455217,02-04-2019,1.0
1538263,431685,13-04-2018,1.0
2007330,464453,18-09-2019,3.0
1532025,424525,10-04-2018,2.0
1479961,426590,26-01-2018,6.0
1479975,426590,26-01-2018,2.0
2367787,486502,18-06-2020,1.0
2367821,486502,18-06-2020,1.0
1856409,454758,28-03-2019,1.0
1344558,413321,02-08-2017,1.0
2310309,482450,04-05-2020,1.0
2301277,482456,24-04-2020,1.0
1262576,409253,12-05-2017,1.0
1613281,433832,29-06-2018,3.0
1480137,426679,25-01-2018,1.0
1971238,458424,28-06-2019,1.0
1881847,455867,09-04-2019,3.0
1874204,455868,11-04-2019,1.0
1677996,436925,14-09-2018,1.0
1678007,436925,14-09-2018,1.0
2131453,421568,13-12-2019,2.0
2899428,509636,20-08-2021,1.0
2899444,509636,20-08-2021,1.0
1881736,456389,15-04-2019,4.0
1887109,455366,12-04-2019,1.0
2660532,504007,25-02-2021,1.0
2660535,504007,25-02-2021,1.0
2660566,504007,25-02-2021,3.0
1747243,447178,22-11-2018,1.0
1506159,424657,08-03-2018,1.0
2418606,480984,24-07-2020,2.0
1297283,415456,19-06-2017,2.0
1604365,431843,21-06-2018,1.0
1604403,431843,21-06-2018,4.0
2338364,485094,05-06-2020,1.0
1680966,442599,24-09-2018,4.0
1444032,425711,27-12-2017,3.0
1941612,438013,11-06-2019,1.0
1598268,423691,15-06-2018,1.0
1578266,433425,25-05-2018,1.0
1600192,433425,15-06-2018,1.0
1600197,433425,15-06-2018,1.0
1432858,421143,17-11-2017,1.0
1394882,413465,16-10-2017,2.0
2113464,470813,25-11-2019,1.0
2264433,474909,27-03-2020,2.0
2689272,504611,12-03-2021,1.0
1276028,412455,06-06-2017,1.0
1276030,412455,06-06-2017,1.0
1338531,414509,31-07-2017,1.0
2239635,479023,04-03-2020,1.0
2046336,437040,11-09-2019,4.0
2709754,505147,24-03-2021,1.0
2700046,499004,25-03-2021,1.0
1489745,427325,08-02-2018,1.0
1489753,427325,08-02-2018,1.0
1617048,435007,05-07-2018,1.0
1392973,420698,11-10-2017,1.0
1392975,420698,11-10-2017,1.0
1459709,422241,13-12-2017,1.0
1459721,422241,13-12-2017,1.0
1459734,422241,13-12-2017,2.0
1459744,422241,13-12-2017,1.0
2336677,478571,08-06-2020,1.0
1458693,426354,15-12-2017,1.0
2714401,500594,26-03-2021,2.0
1587117,434570,11-06-2018,1.0
2479211,488857,18-09-2020,2.0
1742223,446878,27-12-2018,3.0
2029040,412064,27-08-2019,1.0
2340509,478122,22-05-2020,1.0
1551619,432559,30-04-2018,3.0
2404897,485296,10-07-2020,1.0
2279654,474543,08-04-2020,1.0
1450175,423348,08-12-2017,1.0
2397248,486837,17-07-2020,2.0
2397268,486837,17-07-2020,1.0
2308651,483772,07-05-2020,2.0
2369849,487356,29-06-2020,1.0
2369908,487356,29-06-2020,3.0
2369915,487356,29-06-2020,1.0
2155888,473532,27-12-2019,3.0
1464733,420805,22-12-2017,1.0
1464746,420805,22-12-2017,1.0
1464765,420805,22-12-2017,1.0
2260487,479685,19-03-2020,1.0
2392789,488390,14-07-2020,1.0
2251173,480205,27-03-2020,1.0
2251182,480205,27-03-2020,1.0
1815239,451548,15-06-2019,1.0
1417676,413670,03-11-2017,3.0
2523661,496102,26-10-2020,1.0
2523663,496102,26-10-2020,2.0
2662452,504298,12-03-2021,1.0
2227945,467439,24-01-2020,1.0
1808130,451058,01-02-2019,1.0
2522673,494067,21-10-2020,1.0
1380037,417790,12-10-2017,1.0
