,Ing_Order,Ing_Datum,Ing_Aantal
2041381,458246,06-05-2019,2.0
2336161,476696,17-02-2020,1.0
1412274,415259,03-07-2017,1.0
2225218,469533,21-10-2019,1.0
2241246,469533,25-10-2019,1.0
1564345,425503,29-11-2017,1.0
1564373,425503,29-11-2017,1.0
1452774,417825,02-08-2017,1.0
1646622,431653,03-04-2018,1.0
1646638,431653,03-04-2018,1.0
1742816,437288,30-06-2018,3.0
1829983,443950,08-10-2018,4.0
1829990,443950,08-10-2018,1.0
1995915,455217,01-04-2019,1.0
1646030,431685,27-03-2018,1.0
2138614,464453,30-08-2019,3.0
1549913,424525,14-11-2017,2.0
1578682,426590,08-01-2018,2.0
1578701,426590,08-01-2018,6.0
2502475,486502,10-06-2020,1.0
2502486,486502,10-06-2020,1.0
1987417,454758,28-03-2019,1.0
1388620,413321,22-05-2017,1.0
2443601,482450,28-04-2020,1.0
2429915,482456,20-04-2020,1.0
1379559,409253,10-05-2017,1.0
1677823,433832,30-04-2018,3.0
1579765,426679,19-12-2017,1.0
2044320,458424,13-05-2019,1.0
2005477,455867,08-04-2019,3.0
2006075,455868,09-04-2019,1.0
1724011,436925,27-08-2018,1.0
1724017,436925,27-08-2018,1.0
1967518,421568,05-03-2019,2.0
2902611,509636,30-04-2021,1.0
2902665,509636,30-04-2021,1.0
2013191,456389,11-04-2019,4.0
1998242,455366,01-04-2019,1.0
2800386,504007,24-02-2021,1.0
2800413,504007,24-02-2021,3.0
2800664,504007,24-02-2021,1.0
1879413,447178,19-11-2018,1.0
1552688,424657,20-11-2017,1.0
2403928,480984,27-03-2020,2.0
1415452,415456,16-06-2017,2.0
1648308,431843,13-04-2018,4.0
1648315,431843,13-04-2018,1.0
2482267,485094,01-06-2020,1.0
1809570,442599,21-09-2018,4.0
1567090,425711,22-12-2017,3.0
2075013,438013,07-06-2019,1.0
1537483,423691,06-11-2017,1.0
1671523,433425,23-04-2018,2.0
1695799,433425,23-05-2018,1.0
1503191,421143,29-09-2017,1.0
1400704,413465,31-05-2017,2.0
2254009,470813,22-11-2019,1.0
2338236,474909,03-02-2020,2.0
2810176,504611,01-03-2021,1.0
1372977,412455,02-06-2017,1.0
1372982,412455,02-06-2017,1.0
1426144,414509,26-06-2017,1.0
2378381,479023,04-03-2020,1.0
1725583,437040,15-06-2018,4.0
2819491,505147,02-03-2021,1.0
2823369,499004,23-03-2021,1.0
1586885,427325,15-01-2018,1.0
1586888,427325,15-01-2018,1.0
1695704,435007,28-05-2018,1.0
1493611,420698,27-09-2017,1.0
1493626,420698,27-09-2017,1.0
1515625,422241,11-10-2017,1.0
1561529,422241,23-11-2017,1.0
1561532,422241,23-11-2017,1.0
1566136,422241,01-12-2017,2.0
2480702,478571,08-06-2020,1.0
1575814,426354,15-12-2017,1.0
2747917,500594,04-01-2021,2.0
1699455,434570,07-06-2018,1.0
2541030,488857,10-08-2020,2.0
1874470,446878,24-12-2018,3.0
2014008,412064,09-04-2019,1.0
2356727,478122,21-02-2020,1.0
1658190,432559,11-04-2018,3.0
2479569,485296,08-06-2020,1.0
2321943,474543,20-01-2020,1.0
1532453,423348,04-10-2017,1.0
2505952,486837,26-06-2020,2.0
2531628,486837,02-07-2020,1.0
2451407,483772,06-05-2020,2.0
2514662,487356,25-06-2020,1.0
2514664,487356,25-06-2020,3.0
2514690,487356,25-06-2020,1.0
2291676,473532,23-12-2019,3.0
1494305,420805,25-09-2017,1.0
1494314,420805,25-09-2017,1.0
1494328,420805,25-09-2017,1.0
2383039,479685,06-03-2020,1.0
2536389,488390,08-07-2020,1.0
2391380,480205,16-03-2020,1.0
2391384,480205,16-03-2020,1.0
1939447,451548,14-06-2019,1.0
1389883,413670,17-05-2017,3.0
2671187,496102,22-10-2020,1.0
2671202,496102,22-10-2020,2.0
2804057,504298,22-02-2021,1.0
2189400,467439,19-09-2019,1.0
1931472,451058,28-01-2019,1.0
2637392,494067,07-10-2020,1.0
1449654,417790,24-07-2017,1.0
