,End_Order,End_Datum,Ret_Aantal
1096027,399877,17-08-2016,1.0
1537932,431110,30-04-2018,2.0
2781756,498695,18-05-2021,1.0
2925755,498695,24-09-2021,1.0
2925837,498695,24-09-2021,1.0
2925851,498695,24-09-2021,2.0
2925853,498695,24-09-2021,1.0
893290,382472,17-07-2015,2.0
1657748,439816,24-08-2018,1.0
2741860,506383,19-04-2021,1.0
2741876,506383,19-04-2021,1.0
2304280,479249,04-05-2020,1.0
2741900,506385,19-04-2021,1.0
2741907,506385,19-04-2021,1.0
2271528,481299,03-04-2020,1.0
2273536,478234,31-03-2020,2.0
2273553,478234,31-03-2020,2.0
2136346,472092,19-11-2019,1.0
2136348,472092,19-11-2019,1.0
2219545,472092,12-02-2020,1.0
2219547,472092,12-02-2020,1.0
2219548,472092,12-02-2020,1.0
2219551,472092,12-02-2020,1.0
2219552,472092,12-02-2020,1.0
1395463,420901,16-10-2017,1.0
2652358,502310,05-02-2021,3.0
2767013,509993,11-05-2021,1.0
2343541,485418,02-06-2020,1.0
2412669,486957,24-07-2020,1.0
2412695,486957,24-07-2020,3.0
2463847,486957,08-09-2020,3.0
2463871,486957,08-09-2020,1.0
2224311,478257,19-02-2020,1.0
2366563,486450,26-06-2020,1.0
2366573,486450,26-06-2020,1.0
2366610,486450,26-06-2020,2.0
1673982,441393,08-09-2018,7.0
1675398,441393,11-09-2018,1.0
1548394,421430,28-10-2017,1.0
747556,372280,10-10-2014,2.0
2296609,482874,30-04-2020,1.0
2296614,482874,30-04-2020,1.0
2296636,482874,30-04-2020,1.0
1315694,416829,10-07-2017,4.0
1322839,416829,12-07-2017,1.0
1828617,452672,12-03-2019,1.0
1987847,463424,23-07-2019,1.0
1788290,448064,19-12-2018,1.0
2689231,505923,10-03-2021,2.0
1831751,449608,26-02-2019,1.0
850116,376908,24-04-2015,1.0
2138529,472657,02-03-2020,3.0
1086554,397394,22-07-2016,2.0
1558532,434264,25-05-2018,1.0
647406,365660,07-03-2014,8.0
1292619,414815,19-06-2017,1.0
2394279,486496,08-07-2020,1.0
1173727,404577,09-12-2016,1.0
1173731,404577,09-12-2016,1.0
2413640,489055,23-07-2020,2.0
2413645,489055,23-07-2020,2.0
2925996,501347,24-09-2021,1.0
2099003,460388,23-10-2019,1.0
1155790,404580,17-11-2016,1.0
1590774,436326,18-06-2018,1.0
745525,372838,03-10-2014,2.0
2238873,479334,03-03-2020,1.0
2413609,488548,23-07-2020,2.0
2413612,488548,23-07-2020,2.0
1000999,392296,19-02-2016,2.0
2870780,474723,22-07-2021,2.0
2870792,474723,22-07-2021,2.0
1802706,450159,14-01-2019,1.0
1709376,444530,29-10-2018,1.0
1134873,402036,21-10-2016,1.0
2124224,457338,03-11-2019,1.0
2124246,457338,03-11-2019,1.0
2124272,457338,03-11-2019,1.0
2124273,457338,03-11-2019,2.0
2124337,457338,03-11-2019,2.0
2124362,457338,03-11-2019,1.0
879031,382077,23-06-2015,1.0
879050,382077,23-06-2015,1.0
2611025,499838,21-12-2020,1.0
2217944,475776,28-02-2020,2.0
2635304,501889,18-01-2021,2.0
2213218,477319,06-02-2020,1.0
1352498,411787,28-08-2017,1.0
2743639,508556,16-04-2021,1.0
2474172,492174,15-09-2020,1.0
2474187,492174,15-09-2020,1.0
2483058,492175,22-09-2020,2.0
2483064,492175,22-09-2020,2.0
2224226,478350,21-02-2020,1.0
861501,382096,29-05-2015,1.0
1572543,433302,25-05-2018,1.0
1572569,433302,25-05-2018,1.0
1572579,433302,25-05-2018,6.0
2506062,494248,08-10-2020,3.0
2506088,494248,08-10-2020,1.0
2139333,472235,21-11-2019,1.0
2139341,472235,21-11-2019,1.0
2406779,488109,14-07-2020,1.0
2406788,488109,14-07-2020,1.0
1141816,402608,01-11-2016,2.0
1619886,438449,20-07-2018,1.0
2751797,505010,22-04-2021,1.0
1376443,420019,29-09-2017,1.0
1519706,420019,29-09-2017,1.0
2535997,493753,28-10-2020,1.0
2536003,493753,28-10-2020,1.0
2494348,494265,16-10-2020,1.0
2483074,493243,23-09-2020,2.0
2483089,493243,23-09-2020,2.0
1548044,421562,28-10-2017,1.0
1550956,419517,26-04-2018,1.0
1550959,419517,26-04-2018,1.0
1550980,419517,26-04-2018,1.0
2431501,481984,07-08-2020,1.0
1616239,432839,29-06-2018,1.0
2276602,479944,02-04-2020,2.0
1760563,445134,28-11-2018,1.0
1638761,436945,23-07-2018,2.0
2293954,482513,22-04-2020,2.0
2153829,469715,05-12-2019,2.0
