,Ing_Order,Ing_Datum,Ing_Aantal
2765598,501760,15-01-2021,5.0
2765614,501760,15-01-2021,4.0
2831331,505856,11-03-2021,6.0
1745581,438274,17-07-2018,6.0
2831384,505857,12-03-2021,6.0
1222080,401412,19-09-2016,1.0
2530606,487246,14-07-2020,11.0
2530617,487246,14-07-2020,13.0
2530639,487246,14-07-2020,12.0
1652317,432134,03-04-2018,7.0
1774192,440326,27-08-2018,8.0
1774205,440326,27-08-2018,10.0
1774255,440326,24-08-2018,9.0
1774261,440326,24-08-2018,5.0
1774263,440326,24-08-2018,8.0
1774273,440326,24-08-2018,3.0
1774680,440326,24-08-2018,5.0
1774691,440326,24-08-2018,4.0
1774692,440326,24-08-2018,5.0
1774729,440326,24-08-2018,3.0
1778308,440326,24-08-2018,3.0
1778330,440326,24-08-2018,2.0
1390389,413704,29-05-2017,6.0
1390395,413704,29-05-2017,12.0
2765818,501769,18-01-2021,2.0
1492398,419848,20-09-2017,10.0
1059316,389131,18-11-2015,5.0
1059327,389131,18-11-2015,7.0
798512,370700,16-07-2014,7.0
798532,370700,16-07-2014,7.0
800691,370700,18-07-2014,4.0
800704,370700,18-07-2014,4.0
800726,370700,18-07-2014,7.0
800728,370700,18-07-2014,10.0
1837320,444428,15-10-2018,12.0
1085793,391180,18-01-2016,3.0
2411505,481295,01-04-2020,4.0
2411510,481295,01-04-2020,5.0
2342533,477200,10-02-2020,8.0
2411613,481297,01-04-2020,5.0
2411631,481297,01-04-2020,4.0
2412014,481298,02-04-2020,5.0
2832895,505875,06-04-2021,2.0
2412066,481299,03-04-2020,3.0
2515509,487442,02-07-2020,8.0
1599091,428055,29-01-2018,6.0
1599094,428055,29-01-2018,7.0
1869139,446493,05-11-2018,5.0
1869140,446493,05-11-2018,6.0
1303913,407584,30-01-2017,4.0
2797317,503841,22-02-2021,44.0
2797324,503841,22-02-2021,36.0
2796631,503841,23-02-2021,4.0
2624533,493603,22-09-2020,2.0
2018410,456741,18-04-2019,4.0
688470,362534,18-11-2013,20.0
2911691,509993,10-05-2021,2.0
2907801,509993,05-05-2021,6.0
2797746,503850,19-02-2021,16.0
2797764,503850,19-02-2021,14.0
2188114,466989,18-09-2019,4.0
1166627,397359,20-06-2016,34.0
1571243,426032,06-12-2017,9.0
858678,374833,03-11-2014,6.0
942503,380977,04-05-2015,19.0
2376446,479281,04-03-2020,2.0
1391081,413747,22-05-2017,4.0
2451756,483376,04-05-2020,2.0
2445112,483378,25-05-2020,10.0
2445177,483378,25-05-2020,3.0
998803,385076,18-08-2015,2.0
998813,385076,18-08-2015,12.0
2221895,469048,29-10-2019,11.0
1481673,419895,08-09-2017,5.0
1195252,399418,08-09-2016,4.0
1304333,407610,31-01-2017,4.0
1652932,432188,09-04-2018,2.0
1652939,432188,09-04-2018,26.0
1652965,432188,09-04-2018,20.0
2832559,505917,13-03-2021,6.0
1332304,409661,09-03-2017,50.0
2019384,456763,23-04-2019,19.0
2019440,456763,23-04-2019,4.0
1955527,452672,08-03-2019,14.0
1195269,399425,23-08-2016,4.0
1000568,385096,18-08-2015,5.0
1000578,385096,18-08-2015,9.0
1391599,413770,18-05-2017,1.0
1391601,413770,18-05-2017,11.0
786224,368715,24-06-2014,50.0
885377,376908,19-12-2014,13.0
898087,376908,02-02-2015,9.0
908905,376908,19-02-2015,1.0
1900005,448586,04-12-2018,12.0
1900009,448586,04-12-2018,2.0
1900015,448586,04-12-2018,1.0
1900023,448586,04-12-2018,12.0
1512342,421964,10-10-2017,9.0
1304654,407633,31-01-2017,7.0
2251687,471122,05-11-2019,4.0
2251695,471122,05-11-2019,5.0
1775237,440401,29-08-2018,5.0
2445536,483409,06-05-2020,15.0
1926488,450642,18-01-2019,7.0
1926499,450642,18-01-2019,8.0
859130,374870,15-11-2014,15.0
859203,374871,15-11-2014,11.0
859226,374871,15-11-2014,10.0
1987361,454741,22-03-2019,11.0
1541999,424021,13-11-2017,4.0
1280000,405594,22-12-2016,17.0
859272,374874,15-11-2014,46.0
1195773,399452,04-08-2016,12.0
1775316,440410,24-09-2018,8.0
1775319,440410,24-09-2018,8.0
1775354,440410,24-09-2018,5.0
2625082,493662,23-09-2020,4.0
2625084,493662,23-09-2020,3.0
2633832,493662,25-09-2020,1.0
829565,372831,23-09-2014,7.0
2217975,469088,09-10-2019,9.0
1332851,409697,13-03-2017,17.0
1333437,409697,13-03-2017,1.0
1454690,417884,31-07-2017,12.0
770805,368739,28-05-2014,10.0
770830,368739,28-05-2014,7.0
3053607,518238,06-09-2021,9.0
2482828,485475,28-05-2020,1.0
2482840,485475,28-05-2020,4.0
2624854,485475,22-09-2020,6.0
2624871,485475,22-09-2020,5.0
1716469,436326,18-06-2018,10.0
770858,368743,28-05-2014,16.0
770868,368743,28-05-2014,15.0
1223782,401511,19-09-2016,4.0
834549,372838,29-09-2014,8.0
834562,372838,29-09-2014,9.0
2377407,479334,03-03-2020,6.0
2380553,479338,09-03-2020,12.0
1482137,419942,18-09-2017,32.0
770965,368749,28-05-2014,23.0
770970,368749,28-05-2014,11.0
770989,368749,28-05-2014,9.0
770992,368749,28-05-2014,22.0
2736529,499821,27-02-2021,8.0
942586,381037,02-05-2015,16.0
942592,381037,02-05-2015,15.0
1807949,442482,17-09-2018,6.0
1807960,442482,17-09-2018,5.0
1808426,442483,17-09-2018,10.0
1812830,442483,18-09-2018,5.0
2903132,505972,03-05-2021,9.0
2903199,505972,03-05-2021,7.0
2903204,505972,03-05-2021,7.0
2903205,505972,03-05-2021,4.0
1362110,411762,18-04-2017,1.0
1362111,411762,18-04-2017,1.0
1362114,411762,18-04-2017,4.0
1362115,411762,18-04-2017,7.0
1362119,411762,18-04-2017,8.0
1362127,411762,18-04-2017,5.0
1362128,411762,18-04-2017,6.0
1362129,411762,18-04-2017,16.0
1362130,411762,18-04-2017,5.0
1362131,411762,18-04-2017,16.0
1362134,411762,18-04-2017,13.0
1362208,411766,18-04-2017,12.0
1362211,411766,18-04-2017,12.0
942630,381042,01-05-2015,15.0
2797491,503928,15-02-2021,10.0
2052478,458873,20-05-2019,10.0
2052489,458873,20-05-2019,2.0
1251669,403577,28-10-2016,3.0
2344300,477304,04-02-2020,2.0
942746,381050,30-04-2015,10.0
942747,381050,30-04-2015,7.0
2467787,483445,02-06-2020,8.0
2467794,483445,02-06-2020,9.0
2467800,483445,02-06-2020,3.0
2467801,483445,02-06-2020,5.0
2625776,493694,23-09-2020,8.0
2737039,499838,09-12-2020,4.0
2609394,483447,21-09-2020,8.0
2609460,483447,21-09-2020,9.0
2609474,483447,21-09-2020,3.0
2767346,501889,14-01-2021,2.0
2315434,475266,08-01-2020,8.0
943281,381058,23-04-2015,6.0
943286,381058,23-04-2015,6.0
1542765,424068,10-11-2017,7.0
1305532,407685,01-02-2017,3.0
1362671,411782,18-04-2017,8.0
1362672,411782,18-04-2017,8.0
1339664,409735,20-03-2017,3.0
1441079,415877,12-07-2017,7.0
1433270,415877,10-07-2017,22.0
1428080,415877,30-06-2017,5.0
1460194,415877,14-08-2017,-2.0
2876985,508041,12-04-2021,7.0
2877024,508041,12-04-2021,3.0
2019929,456841,16-04-2019,7.0
1167723,397451,17-06-2016,4.0
1362589,411787,18-04-2017,3.0
1362631,411787,18-04-2017,3.0
1426290,411787,27-06-2017,1.0
1436720,411787,09-07-2017,7.0
1436724,411787,09-07-2017,16.0
1393161,413840,29-05-2017,20.0
1139940,395413,26-04-2016,61.0
1139944,395413,26-04-2016,4.0
1139947,395413,26-04-2016,12.0
2315120,475285,07-01-2020,6.0
800830,370840,21-07-2014,10.0
859947,374938,27-10-2014,19.0
859968,374938,27-10-2014,16.0
860032,374938,03-11-2014,3.0
860046,374938,03-11-2014,7.0
2114843,463008,22-07-2019,8.0
2520921,487584,30-06-2020,10.0
886746,376995,19-01-2015,1.0
1776346,440487,13-08-2018,5.0
1776355,440487,13-08-2018,4.0
1795731,440487,17-09-2018,5.0
1795746,440487,17-09-2018,4.0
1810056,440487,17-09-2018,2.0
1882192,440487,22-11-2018,7.0
1882200,440487,22-11-2018,5.0
1910294,440487,07-01-2019,4.0
1996597,440487,27-03-2019,8.0
1996602,440487,27-03-2019,11.0
1996609,440487,27-03-2019,17.0
1607075,428200,19-02-2018,15.0
1363114,411819,18-04-2017,7.0
1363130,411819,18-04-2017,5.0
1363154,411819,18-04-2017,6.0
2805703,503981,22-02-2021,2.0
1746824,438449,16-07-2018,10.0
1483573,420019,11-09-2017,7.0
1808871,442548,17-09-2018,1.0
1808883,442548,17-09-2018,3.0
1873705,446645,19-11-2018,2.0
1873858,446645,19-11-2018,3.0
1873861,446645,19-11-2018,2.0
1874826,446645,19-11-2018,10.0
1874843,446645,19-11-2018,7.0
1874849,446645,19-11-2018,11.0
1874865,446645,19-11-2018,7.0
1483379,420020,09-10-2017,20.0
2714896,497847,23-11-2020,4.0
2658751,493753,16-10-2020,8.0
2020956,456890,17-04-2019,8.0
2510210,485563,17-06-2020,6.0
2510220,485563,17-06-2020,5.0
1199556,399548,18-08-2016,56.0
2554583,489658,18-08-2020,6.0
2554584,489658,18-08-2020,9.0
2589761,491710,27-08-2020,4.0
1479643,417982,07-09-2017,3.0
1685570,434368,14-05-2018,2.0
1685584,434368,14-05-2018,1.0
1685586,434368,14-05-2018,2.0
1339327,409792,20-03-2017,15.0
1368743,409792,24-04-2017,7.0
1368753,409792,24-04-2017,1.0
1368756,409792,24-04-2017,22.0
1910238,448704,17-12-2018,10.0
1988807,454849,19-03-2019,1.0
772824,368837,02-06-2014,6.0
1625523,430279,12-03-2018,6.0
1660045,430279,13-04-2018,5.0
2447372,483528,30-04-2020,8.0
1901517,448715,06-12-2018,9.0
2288586,473292,02-12-2019,7.0
2288590,473292,02-12-2019,5.0
1646982,430287,26-03-2018,3.0
2184243,467151,17-09-2019,1.0
1087953,391378,18-01-2016,11.0
1087957,391378,18-01-2016,11.0
1087993,391378,18-01-2016,1.0
1577962,426196,20-12-2017,2.0
1577965,426196,20-12-2017,2.0
2739011,499924,11-12-2020,12.0
2739025,499924,11-12-2020,6.0
1062504,389332,23-11-2015,5.0
1062515,389332,23-11-2015,13.0
1062517,389332,23-11-2015,18.0
1066641,389332,23-11-2015,1.0
2185364,467159,24-09-2019,23.0
1990533,454870,22-03-2019,3.0
2028156,456924,29-04-2019,16.0
2028201,456924,29-04-2019,14.0
2458997,483551,07-05-2020,3.0
2799110,504032,24-02-2021,5.0
2799115,504032,24-02-2021,7.0
1204061,389344,25-08-2016,6.0
1374127,411875,26-04-2017,3.0
1368896,411875,21-04-2017,1.0
2562979,489700,14-08-2020,7.0
2562983,489700,14-08-2020,2.0
2562995,489700,14-08-2020,13.0
2563021,489700,14-08-2020,18.0
1141121,395493,03-05-2016,37.0
1141133,395493,03-05-2016,2.0
1141176,395493,03-05-2016,3.0
1141184,395493,03-05-2016,48.0
2053087,458983,13-05-2019,11.0
2053092,458983,13-05-2019,16.0
2053143,458983,13-05-2019,5.0
2053151,458983,13-05-2019,5.0
1141220,395495,02-05-2016,4.0
1141238,395495,02-05-2016,6.0
2115942,463079,11-07-2019,4.0
1253167,403687,31-10-2016,6.0
773200,368875,28-05-2014,16.0
1112864,393452,16-03-2016,9.0
3020896,516329,30-08-2021,5.0
3020901,516329,30-08-2021,4.0
1928503,450795,18-01-2019,5.0
1928505,450795,18-01-2019,5.0
944547,381167,30-04-2015,3.0
944562,381167,30-04-2015,3.0
2447918,483565,06-05-2020,7.0
1544273,424168,27-10-2017,22.0
1225532,401650,28-09-2016,9.0
1335315,409843,22-03-2017,21.0
1810004,442613,18-09-2018,14.0
1810010,442613,18-09-2018,13.0
1811458,442613,18-09-2018,1.0
1141540,395513,04-05-2016,13.0
2116167,463098,15-07-2019,3.0
2116188,463098,15-07-2019,5.0
1141477,395515,09-05-2016,9.0
1958415,452862,20-02-2019,6.0
2803898,504065,18-02-2021,12.0
2803906,504065,18-02-2021,16.0
2836450,506119,18-03-2021,3.0
2836462,506119,18-03-2021,3.0
1253665,403720,01-11-2016,4.0
1574021,426250,11-12-2017,10.0
1574037,426250,11-12-2017,6.0
2053594,459018,16-05-2019,18.0
2038883,456974,06-05-2019,5.0
2086000,461071,13-06-2019,6.0
2769912,502031,19-01-2021,4.0
1002287,385301,24-08-2015,14.0
2380000,479511,06-03-2020,11.0
945407,381209,28-04-2015,4.0
1514966,422169,12-10-2017,6.0
1514986,422169,12-10-2017,5.0
2456202,483612,12-05-2020,7.0
2456235,483612,12-05-2020,8.0
945416,381213,28-04-2015,6.0
1577628,426273,15-12-2017,7.0
2317881,475425,13-01-2020,7.0
1454090,418084,31-07-2017,5.0
1454092,418084,31-07-2017,3.0
2704786,497957,12-11-2020,5.0
2704794,497957,12-11-2020,5.0
2707074,497957,13-11-2020,1.0
2714580,497957,19-11-2020,1.0
774416,368934,05-06-2014,9.0
774424,368934,05-06-2014,10.0
1424087,416041,11-07-2017,2.0
773778,368939,29-05-2014,1.0
2739503,500012,17-12-2020,9.0
1335866,409900,13-03-2017,4.0
1377204,409900,02-05-2017,10.0
2632792,493873,02-10-2020,3.0
2380737,479538,09-03-2020,3.0
2380741,479538,09-03-2020,12.0
2254848,471347,07-11-2019,2.0
811370,370996,25-08-2014,14.0
2449542,483638,06-05-2020,12.0
2629704,493879,29-09-2020,5.0
2462832,483641,14-05-2020,7.0
1254537,403773,02-11-2016,20.0
2837262,506173,15-03-2021,1.0
2837263,506173,15-03-2021,1.0
1226738,401729,26-09-2016,6.0
1603712,428354,05-02-2018,6.0
2290281,473411,05-12-2019,5.0
744961,366916,03-05-2014,17.0
2668009,495943,19-10-2020,5.0
1170500,397641,23-06-2016,18.0
1307327,407884,07-02-2017,10.0
745142,366929,03-05-2014,47.0
745161,366930,03-05-2014,13.0
774483,368979,05-06-2014,21.0
1424606,416082,26-06-2017,11.0
1424611,416082,26-06-2017,22.0
1518080,422226,23-10-2017,14.0
1539872,422231,07-11-2017,11.0
2527559,488128,14-07-2020,4.0
2676908,495965,27-10-2020,6.0
1575071,426334,12-12-2017,8.0
1064420,389472,23-11-2015,15.0
1926935,450681,05-02-2019,14.0
1064480,389474,23-11-2015,10.0
1627632,430436,08-03-2018,4.0
1006565,385382,26-08-2015,9.0
666961,360813,21-10-2013,42.0
666799,360813,23-10-2013,31.0
666574,360813,20-10-2013,30.0
666651,360813,19-10-2013,11.0
1812516,442733,28-09-2018,16.0
2521991,487792,06-07-2020,3.0
2558325,487792,27-07-2020,2.0
1339028,409973,20-03-2017,18.0
1339036,409973,20-03-2017,3.0
1339056,409973,20-03-2017,5.0
1339070,409973,20-03-2017,19.0
2838004,506230,14-03-2021,6.0
1424977,416120,27-06-2017,2.0
1430576,416120,29-06-2017,1.0
2025141,457080,18-04-2019,13.0
2494196,485755,15-06-2020,18.0
2356075,477564,17-02-2020,9.0
1307919,407933,06-02-2017,4.0
2701051,495998,23-11-2020,1.0
2701056,495998,23-11-2020,16.0
2701068,495998,23-11-2020,7.0
1745252,430468,09-07-2018,9.0
1745261,430468,09-07-2018,7.0
1848993,444807,23-10-2018,7.0
1848994,444807,23-10-2018,8.0
1600738,428424,01-01-2018,16.0
1600870,428424,01-01-2018,29.0
1600875,428424,01-01-2018,9.0
1738598,428424,30-03-2018,14.0
1601022,428425,29-01-2018,7.0
718261,364936,11-02-2014,5.0
718396,364936,11-02-2014,6.0
718505,364936,18-02-2014,5.0
2557116,489869,24-07-2020,4.0
1457233,418190,02-08-2017,4.0
1455517,418190,01-08-2017,4.0
2771524,502163,22-01-2021,3.0
2771535,502163,22-01-2021,9.0
2594293,491925,02-09-2020,3.0
2487348,485784,15-06-2020,7.0
1992305,455065,25-03-2019,20.0
1992339,455065,25-03-2019,30.0
1189584,397726,19-07-2016,14.0
1284135,405921,13-12-2016,2.0
2349297,477603,14-02-2020,6.0
1176103,397732,06-07-2016,45.0
2707379,498085,17-11-2020,3.0
2707410,498085,17-11-2020,2.0
780993,369060,16-06-2014,13.0
781007,369060,16-06-2014,12.0
1551305,420264,20-11-2017,15.0
2875620,508332,08-04-2021,1.0
1487323,420269,27-09-2017,12.0
1309036,407983,08-02-2017,7.0
1309052,407983,08-02-2017,4.0
2118644,463280,18-07-2019,7.0
2118647,463280,18-07-2019,6.0
1628944,430513,14-03-2018,4.0
1628946,430513,14-03-2018,4.0
2771988,502194,20-01-2021,6.0
2772003,502194,20-01-2021,6.0
2772016,502194,20-01-2021,3.0
1337952,410035,20-03-2017,29.0
2451463,483759,04-05-2020,5.0
1992841,455092,10-05-2019,8.0
1072676,389557,02-12-2015,2.0
1065783,389557,23-11-2015,19.0
1171869,397754,11-07-2016,2.0
1171878,397754,11-07-2016,7.0
2839347,506301,15-03-2021,6.0
2224213,469438,28-10-2019,11.0
2224218,469438,28-10-2019,7.0
2088802,461247,17-06-2019,12.0
2597069,491968,14-09-2020,28.0
2597090,491968,14-09-2020,29.0
2597133,491968,14-09-2020,32.0
2839380,506302,16-03-2021,6.0
2839429,506303,17-03-2021,6.0
1930985,451005,23-01-2019,6.0
1931002,451005,23-01-2019,5.0
947646,381381,18-05-2015,9.0
1548160,424390,14-11-2017,3.0
1548170,424390,14-11-2017,6.0
2521630,487245,03-07-2020,4.0
2521638,487245,03-07-2020,6.0
2521676,487245,03-07-2020,4.0
2521699,487245,03-07-2020,6.0
2521716,487245,03-07-2020,1.0
2521731,487245,03-07-2020,1.0
1720958,436681,15-06-2018,8.0
2772579,502218,20-01-2021,2.0
2839562,506313,18-03-2021,6.0
2557611,489928,18-08-2020,9.0
1629399,430541,12-03-2018,2.0
1629413,430541,12-03-2018,4.0
1754958,438733,19-07-2018,4.0
1754971,438733,19-07-2018,5.0
1341367,410063,23-03-2017,10.0
1341372,410063,23-03-2017,3.0
2525832,487887,02-07-2020,4.0
2525843,487887,02-07-2020,3.0
2154648,465361,10-09-2019,14.0
1259752,403922,07-11-2016,31.0
2595552,491987,09-09-2020,12.0
2595570,491987,09-09-2020,12.0
2595575,491987,09-09-2020,13.0
1309117,408017,21-02-2017,5.0
1172167,397781,11-07-2016,6.0
1172168,397781,11-07-2016,28.0
1457006,418264,14-08-2017,5.0
1457042,418264,30-08-2017,12.0
1457078,418264,30-08-2017,7.0
1457133,418264,29-09-2017,6.0
1457146,418264,29-09-2017,5.0
1495974,418264,25-09-2017,6.0
1495986,418264,25-09-2017,4.0
1520094,418264,17-10-2017,8.0
1520109,418264,17-10-2017,6.0
1144791,395737,09-05-2016,8.0
1144814,395737,09-05-2016,7.0
1733175,436698,05-07-2018,36.0
1845434,444889,19-10-2018,26.0
866153,375264,18-11-2014,8.0
719412,365025,03-03-2014,6.0
719438,365025,17-02-2014,3.0
719452,365025,17-02-2014,9.0
790776,365025,25-06-2014,13.0
790788,365025,25-06-2014,12.0
2252368,469474,04-11-2019,6.0
2252369,469474,04-11-2019,12.0
2252415,469474,04-11-2019,33.0
2252419,469474,04-11-2019,17.0
2350976,477666,18-02-2020,10.0
1005105,385510,25-08-2015,6.0
2670967,496106,21-10-2020,2.0
1144958,395755,09-05-2016,11.0
2876947,508394,12-04-2021,4.0
1629962,430573,12-03-2018,14.0
2422903,481778,10-04-2020,2.0
2422913,481778,10-04-2020,4.0
2422921,481778,10-04-2020,5.0
2422930,481778,10-04-2020,9.0
1518170,422393,16-10-2017,3.0
1518175,422393,16-10-2017,3.0
1948555,451066,04-03-2019,9.0
2421710,481789,15-04-2020,8.0
