,End_Order,End_Datum,Ret_Aantal
1233854,409624,07-04-2017,2.0
2065496,466972,27-09-2019,2.0
1235477,409630,03-04-2017,2.0
1557193,434207,07-05-2018,4.0
2302058,483358,28-04-2020,8.0
2302100,483360,29-04-2020,8.0
1409972,417825,01-10-2017,2.0
1410101,417825,01-10-2017,2.0
1410110,417825,01-10-2017,8.0
2302133,483361,30-04-2020,8.0
2302166,483363,01-05-2020,8.0
2429583,475174,05-08-2020,1.0
1713540,442407,05-10-2018,2.0
2429562,475177,05-08-2020,2.0
2369390,475180,19-06-2020,4.0
1610396,434222,26-06-2018,5.0
1610407,434222,26-06-2018,2.0
2604292,499759,11-12-2020,4.0
1451015,426034,21-12-2017,2.0
2429598,475186,17-07-2020,4.0
1803137,450610,16-01-2019,2.0
1686314,442421,21-09-2018,4.0
1728358,442421,30-10-2018,4.0
1449795,426039,06-12-2017,2.0
2599074,499767,08-12-2020,5.0
1232396,409655,30-03-2017,2.0
2454878,475192,01-09-2020,4.0
2394055,475193,07-07-2020,4.0
2818013,475195,18-06-2021,4.0
1338209,417855,28-07-2017,8.0
1936550,458816,27-05-2019,2.0
2335024,475200,26-05-2020,4.0
1918185,458818,16-05-2019,4.0
2046566,467011,07-10-2019,4.0
1918541,458820,30-05-2019,6.0
1567023,434246,14-05-2018,1.0
2724619,507977,07-04-2021,3.0
2275955,475220,01-04-2020,3.0
2303010,483413,05-05-2020,2.0
1337126,417878,23-08-2017,2.0
1750101,442458,16-11-2018,3.0
2612025,499803,16-12-2020,4.0
2306432,483422,30-04-2020,2.0
2064554,467039,27-09-2019,2.0
1558800,434273,22-05-2018,1.0
1341504,417899,24-08-2017,6.0
2625442,499822,11-01-2021,2.0
1378823,417903,27-09-2017,2.0
1364798,417905,01-09-2017,2.0
1935802,458869,27-05-2019,2.0
1989488,458869,10-07-2019,2.0
2189923,475256,14-01-2020,2.0
2189944,475256,14-01-2020,2.0
1586773,434297,01-06-2018,2.0
2586178,483452,01-12-2020,2.0
2597822,491649,07-12-2020,6.0
2308113,483472,01-05-2020,2.0
1224941,409755,16-03-2017,2.0
1892082,450717,04-04-2019,4.0
1335767,417954,31-07-2017,1.0
2472433,491684,15-09-2020,7.0
2061199,467112,27-09-2019,4.0
1756297,442540,21-11-2018,2.0
1378812,417966,27-09-2017,8.0
1919793,458932,17-05-2019,4.0
2634833,499894,18-01-2021,6.0
2316704,483512,08-05-2020,2.0
1680417,442560,18-09-2018,2.0
2309048,483521,28-05-2020,2.0
2316353,483533,07-05-2020,3.0
1682311,442575,17-09-2018,1.0
1805248,450769,25-01-2019,2.0
2305055,483541,30-04-2020,8.0
2742719,508121,20-04-2021,4.0
2305063,483545,01-05-2020,8.0
1540185,418013,16-03-2018,1.0
1681524,442590,17-09-2018,2.0
1464937,418014,20-12-2017,2.0
