,End_Order,End_Datum,Ret_Aantal
2042127,458753,06-06-2019,1.0
1944131,458753,05-06-2019,3.0
2446579,491525,26-08-2020,4.0
1919373,458757,14-05-2019,4.0
1710742,442384,12-10-2018,5.0
1751095,442385,19-11-2018,4.0
1753723,442386,21-11-2018,5.0
2065504,466972,27-09-2019,2.0
1235480,409630,03-04-2017,2.0
1557191,434207,07-05-2018,4.0
1218169,409631,16-03-2017,3.0
1218176,409631,16-03-2017,1.0
2302064,483358,28-04-2020,8.0
2302106,483360,29-04-2020,8.0
1409973,417825,01-10-2017,2.0
1410091,417825,01-10-2017,5.0
1410103,417825,01-10-2017,2.0
1410113,417825,01-10-2017,8.0
1410116,417825,01-10-2017,4.0
2302139,483361,30-04-2020,8.0
2302172,483363,01-05-2020,8.0
2429580,475174,05-08-2020,1.0
1713526,442407,05-10-2018,2.0
1557335,434216,07-05-2018,4.0
2199649,475177,22-01-2020,0.0
2429563,475177,05-08-2020,1.0
2429570,475177,05-08-2020,1.0
1803337,450597,18-01-2019,4.0
2369382,475180,19-06-2020,4.0
1610395,434222,26-06-2018,2.0
1610422,434222,26-06-2018,5.0
2604309,499759,11-12-2020,4.0
2723263,507953,06-04-2021,16.0
1451011,426034,21-12-2017,2.0
1451019,426034,21-12-2017,2.0
1451026,426034,21-12-2017,2.0
2429606,475186,17-07-2020,4.0
2723325,507954,07-04-2021,16.0
2723340,507955,08-04-2021,16.0
1686294,442421,21-09-2018,4.0
1728361,442421,30-10-2018,4.0
1728368,442421,30-10-2018,2.0
1449816,426039,06-12-2017,2.0
2599093,499767,08-12-2020,5.0
2599096,499767,08-12-2020,2.0
1232403,409655,30-03-2017,2.0
2454868,475192,01-09-2020,4.0
2394056,475193,07-07-2020,4.0
2723355,507958,09-04-2021,16.0
2594146,499773,17-12-2020,2.0
2817996,475195,18-06-2021,4.0
1338203,417855,28-07-2017,8.0
1338216,417855,28-07-2017,4.0
2335019,475200,26-05-2020,4.0
1218706,409665,14-03-2017,4.0
1918174,458818,16-05-2019,2.0
1918181,458818,16-05-2019,4.0
2046579,467011,07-10-2019,4.0
1918528,458820,30-05-2019,2.0
1918538,458820,30-05-2019,6.0
1567012,434246,14-05-2018,1.0
1567014,434246,14-05-2018,2.0
1450876,426055,11-12-2017,5.0
2724631,507977,07-04-2021,3.0
1918248,458826,16-05-2019,2.0
1497569,426059,23-02-2018,2.0
2052087,467022,17-09-2019,4.0
1383860,417874,03-10-2017,2.0
2275965,475220,01-04-2020,3.0
2303025,483413,05-05-2020,2.0
2046856,467034,16-09-2019,3.0
2612020,499803,16-12-2020,4.0
1750111,442458,16-11-2018,3.0
2306418,483422,30-04-2020,2.0
2064566,467039,27-09-2019,2.0
2064570,467039,27-09-2019,2.0
1558804,434273,22-05-2018,1.0
1958718,458851,19-06-2019,3.0
2724373,508010,20-04-2021,1.0
1341499,417899,24-08-2017,6.0
2625439,499822,11-01-2021,2.0
1378838,417903,27-09-2017,2.0
1679179,442480,13-09-2018,4.0
1679184,442480,13-09-2018,4.0
1679193,442481,14-09-2018,4.0
1679198,442481,14-09-2018,4.0
1364800,417905,01-09-2017,2.0
1935801,458869,27-05-2019,2.0
1989487,458869,10-07-2019,2.0
2049892,467063,16-09-2019,4.0
2189949,475256,14-01-2020,2.0
2189960,475256,14-01-2020,2.0
1586776,434297,01-06-2018,2.0
2185704,475260,30-01-2020,2.0
2185705,475260,30-01-2020,4.0
2623044,499837,16-12-2020,4.0
2600756,499837,15-12-2020,4.0
1219543,409725,15-03-2017,2.0
1219546,409725,15-03-2017,4.0
2586179,483452,01-12-2020,2.0
2597823,491649,07-12-2020,6.0
2308110,483472,01-05-2020,2.0
2604510,491667,16-12-2020,2.0
2604522,491667,16-12-2020,1.0
2724917,508052,12-04-2021,16.0
1497912,424996,22-02-2018,2.0
2725012,508056,13-04-2021,16.0
2186027,475289,31-01-2020,2.0
2725027,508057,14-04-2021,16.0
1224947,409755,16-03-2017,2.0
2725042,508060,15-04-2021,16.0
2725082,508061,16-04-2021,16.0
1892084,450717,04-04-2019,4.0
1826738,450720,22-02-2019,5.0
1231520,409761,24-03-2017,4.0
1451848,426146,11-12-2017,2.0
1397856,417954,01-08-2017,8.0
1335786,417954,31-07-2017,1.0
2472435,491684,15-09-2020,3.0
2472438,491684,15-09-2020,7.0
2186144,475303,08-01-2020,4.0
2061192,467112,27-09-2019,4.0
1756292,442540,21-11-2018,2.0
1378815,417966,27-09-2017,8.0
1919787,458932,17-05-2019,4.0
1919790,458932,17-05-2019,2.0
2634834,499894,18-01-2021,6.0
2680009,499894,04-03-2021,1.0
2316696,483512,08-05-2020,3.0
2316713,483512,08-05-2020,2.0
1680367,442555,18-09-2018,2.0
1452171,426175,18-12-2017,8.0
1680406,442560,18-09-2018,2.0
2309036,483521,28-05-2020,2.0
2309039,483521,28-05-2020,1.0
2052145,467140,23-09-2019,2.0
1680512,442567,18-09-2018,6.0
1358922,417994,06-09-2017,5.0
1680859,442572,18-09-2018,4.0
2316346,483533,07-05-2020,3.0
2316359,483533,07-05-2020,4.0
1805240,450769,25-01-2019,4.0
1805242,450769,25-01-2019,4.0
1805281,450769,25-01-2019,2.0
2449771,491733,23-09-2020,3.0
2449808,491734,02-10-2020,1.0
2449839,491734,02-10-2020,3.0
1689748,442581,24-09-2018,5.0
1689749,442581,24-09-2018,4.0
2305057,483541,30-04-2020,8.0
2742709,508121,20-04-2021,6.0
2742718,508121,20-04-2021,4.0
2762168,508121,30-04-2021,4.0
2305065,483545,01-05-2020,8.0
1540183,418013,16-03-2018,1.0
1681525,442590,17-09-2018,2.0
1464950,418014,20-12-2017,8.0
1464957,418014,20-12-2017,2.0
1931341,458977,17-05-2019,1.0
1931345,458977,17-05-2019,6.0
1224154,409825,15-03-2017,1.0
1224160,409825,15-03-2017,4.0
1680771,442595,19-09-2018,4.0
1524863,426212,29-03-2018,6.0
1541741,426212,16-03-2018,6.0
1541744,426212,16-03-2018,6.0
1681061,442599,24-09-2018,10.0
1681017,442599,21-09-2018,10.0
2069057,467178,02-10-2019,2.0
1344877,418029,11-08-2017,2.0
1227033,409839,21-03-2017,1.0
1299702,409839,22-06-2017,1.0
1316916,409839,07-07-2017,1.0
1316943,409839,07-07-2017,4.0
1681000,442607,21-09-2018,2.0
2450042,491761,11-09-2020,8.0
1741888,442610,13-11-2018,2.0
1932425,458997,24-05-2019,3.0
1932439,458997,24-05-2019,2.0
1635057,434424,19-07-2018,6.0
2375923,483576,24-06-2020,2.0
1931596,459002,27-05-2019,2.0
1931604,459002,27-05-2019,4.0
