,End_Order,End_Datum,Ret_Aantal
1944139,458753,05-06-2019,4.0
2446578,491525,26-08-2020,6.0
1919366,458757,14-05-2019,5.0
1710746,442384,12-10-2018,4.0
1751100,442385,19-11-2018,4.0
1753731,442386,21-11-2018,6.0
2065490,466972,27-09-2019,2.0
1235470,409630,03-04-2017,6.0
1218165,409631,16-03-2017,1.0
2302076,483358,28-04-2020,1.0
2302088,483358,28-04-2020,2.0
2302118,483360,29-04-2020,1.0
2302130,483360,29-04-2020,2.0
1410079,417825,01-10-2017,9.0
2302151,483361,30-04-2020,1.0
2302163,483361,30-04-2020,2.0
2302184,483363,01-05-2020,1.0
2302196,483363,01-05-2020,2.0
1803324,450597,18-01-2019,5.0
2429581,475174,05-08-2020,2.0
1713551,442407,05-10-2018,2.0
2429577,475177,05-08-2020,4.0
2369394,475180,19-06-2020,4.0
1610404,434222,26-06-2018,2.0
1610410,434222,26-06-2018,8.0
1558098,434223,04-05-2018,6.0
2604304,499759,11-12-2020,4.0
1451009,426034,21-12-2017,1.0
2429603,475186,17-07-2020,4.0
1803134,450610,16-01-2019,2.0
1686296,442421,21-09-2018,2.0
1728356,442421,30-10-2018,10.0
1449803,426039,06-12-2017,2.0
2599081,499767,08-12-2020,6.0
1800775,434232,31-12-2018,1.0
1232407,409655,30-03-2017,2.0
2454881,475192,01-09-2020,2.0
2394044,475193,07-07-2020,4.0
2594151,499773,17-12-2020,4.0
2817998,475195,18-06-2021,2.0
2818000,475195,18-06-2021,2.0
1388055,417850,11-10-2017,2.0
1447704,417850,28-11-2017,10.0
2335028,475200,26-05-2020,4.0
1218707,409665,14-03-2017,2.0
1918188,458818,16-05-2019,2.0
2046575,467011,07-10-2019,4.0
1918534,458820,30-05-2019,10.0
1338193,417855,28-07-2017,8.0
1567026,434246,14-05-2018,9.0
1450882,426055,11-12-2017,5.0
1432318,417864,17-11-2017,6.0
2724626,507977,07-04-2021,2.0
2302712,483399,12-05-2020,2.0
1497559,426059,23-02-2018,3.0
2052094,467022,17-09-2019,2.0
1218862,409679,07-04-2017,6.0
1692323,442449,26-09-2018,12.0
1383862,417874,03-10-2017,5.0
1478021,426068,22-01-2018,4.0
1682955,442452,18-09-2018,30.0
2275956,475220,01-04-2020,2.0
2275962,475220,01-04-2020,4.0
2303018,483413,05-05-2020,2.0
1337119,417878,23-08-2017,15.0
2046866,467034,16-09-2019,8.0
2612041,499803,16-12-2020,2.0
1750103,442458,16-11-2018,2.0
2306419,483422,30-04-2020,2.0
2064567,467039,27-09-2019,6.0
1558790,434273,22-05-2018,13.0
1678309,434273,12-09-2018,5.0
1958712,458851,19-06-2019,7.0
2625421,499822,11-01-2021,8.0
1378820,417903,27-09-2017,2.0
1364789,417905,01-09-2017,2.0
1935798,458869,27-05-2019,6.0
1989485,458869,10-07-2019,2.0
2082326,458869,30-09-2019,4.0
2082332,458869,30-09-2019,6.0
2049890,467063,16-09-2019,4.0
2189930,475256,14-01-2020,2.0
2189959,475256,14-01-2020,2.0
2185676,475260,30-01-2020,3.0
2600742,499837,15-12-2020,13.0
1219547,409725,15-03-2017,4.0
2586175,483452,01-12-2020,4.0
1995287,458889,18-07-2019,3.0
2308105,483472,01-05-2020,2.0
2604495,491667,16-12-2020,1.0
2604546,491667,16-12-2020,2.0
2633661,491667,31-12-2020,2.0
1479505,424996,12-01-2018,0.0
1497907,424996,22-02-2018,3.0
2186024,475289,31-01-2020,6.0
1224945,409755,16-03-2017,2.0
1892091,450717,04-04-2019,12.0
1826737,450720,22-02-2019,15.0
1231521,409761,24-03-2017,1.0
1451857,426146,11-12-2017,8.0
1335783,417954,31-07-2017,5.0
2472443,491684,15-09-2020,6.0
2448853,491685,27-08-2020,2.0
2242242,475300,03-03-2020,8.0
2061190,467112,27-09-2019,4.0
1756301,442540,21-11-2018,1.0
1339522,417970,01-08-2017,6.0
1919785,458932,17-05-2019,2.0
2680018,499894,04-03-2021,4.0
2634840,499894,18-01-2021,2.0
2316703,483512,08-05-2020,4.0
1680414,442560,18-09-2018,8.0
2309042,483521,28-05-2020,4.0
1560089,434371,30-05-2018,15.0
