,Ing_Order,Ing_Datum,Ing_Aantal
2904948,509952,03-05-2021,1.0
2868642,507905,06-04-2021,3.0
2868687,507906,08-04-2021,4.0
3003486,514051,23-08-2021,2.0
2905583,509960,03-05-2021,3.0
2910964,509960,10-05-2021,3.0
3157736,524297,07-12-2021,2.0
2699740,497677,13-11-2020,9.0
2704054,497677,21-11-2020,1.0
2790594,497677,16-02-2021,2.0
2848557,497677,19-03-2021,2.0
2917611,497677,14-05-2021,8.0
3042984,497677,24-08-2021,2.0
3157913,524303,09-12-2021,3.0
3086755,520214,11-10-2021,2.0
2979565,514072,23-06-2021,2.0
3157946,524314,14-12-2021,1.0
2913276,499739,10-05-2021,2.0
3086770,520218,05-10-2021,2.0
2699861,497691,10-11-2020,4.0
3158208,524322,13-12-2021,4.0
2957932,509986,11-06-2021,6.0
2920132,509986,12-05-2021,2.0
2766265,501803,15-01-2021,3.0
2943786,512044,01-06-2021,1.0
3124576,522284,04-11-2021,2.0
2906016,509999,11-05-2021,2.0
2980429,514096,28-06-2021,4.0
3125230,522290,08-11-2021,4.0
3053008,518201,03-09-2021,2.0
3052957,518202,10-09-2021,2.0
3158660,524348,08-12-2021,2.0
2944060,512061,06-06-2021,2.0
3125134,522305,04-11-2021,2.0
2735734,499778,02-01-2021,4.0
3087529,520260,18-10-2021,3.0
3053217,518214,06-09-2021,2.0
2832920,505926,11-03-2021,2.0
3087626,520264,29-10-2021,3.0
2906822,510026,03-05-2021,2.0
2805943,503882,24-02-2021,2.0
2805950,503882,24-02-2021,3.0
3053244,518220,03-09-2021,2.0
3053302,518221,06-09-2021,3.0
2906773,510031,03-05-2021,2.0
2906989,510032,30-04-2021,1.0
2906945,510034,10-05-2021,3.0
2833253,505941,15-03-2021,1.0
3053450,518230,02-09-2021,2.0
2766743,501851,14-01-2021,2.0
3087892,520285,14-10-2021,1.0
3150410,522333,01-12-2021,4.0
2949819,512096,10-06-2021,2.0
3036191,512096,13-08-2021,2.0
3053695,518241,06-09-2021,3.0
2981112,514149,29-06-2021,1.0
3159458,524391,06-12-2021,1.0
2944738,512103,31-05-2021,3.0
3159491,524393,07-12-2021,3.0
3125683,522343,10-11-2021,2.0
3000720,514153,12-07-2021,1.0
2981302,514153,28-06-2021,2.0
3008841,514153,17-07-2021,2.0
3011273,514153,04-07-2021,3.0
