,Ing_Order,Ing_Datum,Ing_Aantal
3014698,516096,23-07-2021,6.0
2868660,507905,06-04-2021,5.0
2868688,507906,08-04-2021,6.0
3157734,524297,07-12-2021,2.0
3015029,516111,23-07-2021,2.0
3157907,524303,09-12-2021,2.0
3015045,516113,23-07-2021,4.0
3157763,524304,08-12-2021,6.0
3157967,524306,08-12-2021,2.0
3157970,524306,08-12-2021,6.0
3157936,524309,14-12-2021,6.0
3157947,524314,14-12-2021,3.0
2735049,499739,18-01-2021,4.0
2913268,499739,10-05-2021,11.0
2918751,499739,10-05-2021,6.0
3158199,524322,13-12-2021,5.0
2444741,483364,24-04-2020,4.0
2456920,483364,07-05-2020,4.0
3158316,524328,10-12-2021,4.0
2873943,507950,12-04-2021,5.0
3158659,524348,08-12-2021,12.0
2316497,475199,13-01-2020,20.0
2735802,499778,02-01-2021,16.0
2735944,499778,16-01-2021,16.0
2445253,483398,25-04-2020,5.0
3016227,516185,23-08-2021,2.0
3159487,524393,07-12-2021,5.0
2870516,508012,02-04-2021,2.0
3160025,524399,13-12-2021,6.0
3160768,524407,09-12-2021,5.0
2870917,508037,14-04-2021,14.0
3018492,516231,23-07-2021,2.0
3160177,524435,15-12-2021,7.0
2870975,508054,12-04-2021,6.0
3030662,516250,05-08-2021,2.0
3018383,516250,02-08-2021,10.0
3028654,516250,02-08-2021,10.0
3160271,524443,15-12-2021,6.0
2871152,508062,06-04-2021,8.0
3018128,516255,13-08-2021,5.0
3160300,524450,08-12-2021,4.0
3019216,516285,16-08-2021,2.0
3038331,516285,15-08-2021,4.0
3160717,524480,13-12-2021,4.0
3161447,524483,14-12-2021,14.0
3160670,524484,17-12-2021,9.0
2872331,508126,13-04-2021,15.0
2872341,508127,11-04-2021,5.0
2872411,508127,11-04-2021,11.0
2743252,499946,04-01-2021,10.0
2792209,499946,05-02-2021,2.0
2821281,499946,03-03-2021,3.0
3161243,524532,13-12-2021,2.0
2873017,508159,14-04-2021,7.0
3020271,516353,16-08-2021,4.0
3020343,516355,16-08-2021,6.0
3020350,516359,23-08-2021,4.0
3161532,524553,15-12-2021,2.0
3020536,516363,16-08-2021,4.0
